Rent,Address,Bed,Bath,Apartment Type
"$2,050","11065 S Sterling View Dr South Jordan, UT",2,2,"Apartment"
"$2,100","4539 W Harvest Sun Ln South Jordan, UT",3,1.5,"Townhome"
"$2,195","3873 W Sage Meadow Dr South Jordan, UT",3,2.5,"Townhome"
"$2,999","4172 W Lake Bridge Dr South Jordan, UT",5,3.5,"Multiplex"
"$2,450","11438 S Open View Ln South Jordan, UT",4,2.5,"House"
"$2,495","4084 W Poplar Grove Dr South Jordan, UT",4,3.5,"House"
"$2,188","213 W Civic Center Dr Sandy, UT",3,2,"Apartment"
"$2,150","3766 W Periwinkle Dr South Jordan, UT",3,2.5,"Townhome"
"$2,400","5034 W Daybreak Pkwy South Jordan, UT",3,2.5,"Townhome"
"$2,595","11514 S Lake Run Rd South Jordan, UT",6,3.5,"House"
"$2,695","11381 S Trent Dr South Jordan, UT",5,2.5,"House"
"$2,500","11308 S Ropemaker Rd South Jordan, UT",3,2.5,"Townhome"
"$2,059","1407 W 11380 S South Jordan, UT",2,1.5,"Townhome"
"$2,199","10668 S Monica Ridge Way South Jordan, UT",3,2.5,"Townhome"
"$2,300","250 W Beverlee Ann Dr Draper, UT",4,2.5,"House"
"$2,399","1461 W 11380 S South Jordan, UT",3,2.5,"Townhome"
"$2,150","11212 S Summer Heights Dr South Jordan, UT",3,2.5,"Townhome"
"$2,950","9984 S Orchard View Dr South Jordan, UT",4,3,"House"
"$2,495","10973 S Maple Forest Way South Jordan, UT",4,3.5,"Townhome"
"$2,395","4849 W South Jordan Pkwy South Jordan, UT",2,2.5,"Townhome"
"$2,795","4234 W Lake Bridge Dr South Jordan, UT",6,3.5,"House"
"$2,295","1752 W Pirgos Ln South Jordan, UT",4,2.5,"Townhome"
"$2,000","9526 S Fairway View Dr Sandy, UT",2,2.5,"Multiplex"
"$2,150","1813 W Irini Ln South Jordan, UT",2,2,"Townhome"
"$2,995","11478 S Harvest Crest Way South Jordan, UT",5,3.5,"House"
"$2,795","4843 W South Jordan Pkwy South Jordan, UT",4,3,"Townhome"
"$2,500","241 W Beverlee Ann Dr Draper, UT",5,3,"House"
"$2,550","1125 W Chavez Dr South Jordan, UT",3,2.5,"House"
"$2,650","11583 S Prosperity Rd South Jordan, UT",2,2.5,"Townhome"
"$2,595","4652 W South Jordan Pkwy South Jordan, UT",4,3.5,"Townhome"
"$2,800","5263 W Dock St South Jordan, UT",4,3.5,"Townhome"
